Platform,Publisher,GoodsSold,GoodsName,Campaign_ID,CampaignName,PlatAccountNbr,CampaignDate,AmountSpent,PlatBResult,PlatValue,Impressions,Clicks,LPViews,LPViewCost,Leads,LeadCost,LinkClicks,FulfillmentOrders,FulfillmentRevenue
Google,PUB_527cb9d6,Alpha Group,VBI,CAM-MUEKIPU1,Conversion_General_Q222,PFM-220-5833,2024-04-23,0.0,0,0.0,1,0,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,EF,88-98470-758,Retargeting_Special_Q323,ACCT-6211764545,2024-03-18,5.42,1,25.0,7,2,0,0,0,0,0,1,28.0
Google,PUB_527cb9d6,Alpha Group,EF,88-98470-758,Retargeting_Special_Q323,ACCT-6211764545,2023-11-30,4.68,0,0.0,20,2,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,YC,13-89822-773,Retargeting_Special_Mar24,PFM-945-4578,2024-02-13,42.9,1,25.0,37,25,0,0,0,0,0,1,25.0
Google,PUB_527cb9d6,Alpha Group,YC,13-89822-773,Retargeting_Special_Mar24,PFM-945-4578,2024-03-26,3.16,0,0.0,21,3,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,YC,13-89822-773,Retargeting_Special_Mar24,PFM-945-4578,2023-12-28,9.98,0,0.0,10,5,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,YC,13-89822-773,Retargeting_Special_Mar24,PFM-945-4578,2024-01-29,22.45,1,20.0,41,16,0,0,0,0,0,1,20.0
Google,PUB_527cb9d6,Alpha Group,YC,13-89822-773,Brand_Seasonal_Dec23,PFM-945-4578,2024-06-05,16.47,1,20.0,20,9,0,0,0,0,0,1,20.0
Google,PUB_527cb9d6,Alpha Group,YC,13-89822-773,Brand_Seasonal_Dec23,PFM-945-4578,2024-05-24,3.64,1,20.0,10,3,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,NGX,44-13794-284,Conversion_Premium_Q122,PFM-945-4578,2024-03-22,12.91,0,0.0,29,8,0,0,0,0,0,1,21.0
Google,PUB_527cb9d6,Alpha Group,NGX,44-13794-284,Retargeting_Premium_Feb24,PFM-945-4578,2024-08-22,8.01,1,23.0,20,8,0,0,0,0,0,3,69.0
Google,PUB_527cb9d6,Alpha Group,NGX,44-13794-284,Retargeting_Premium_Feb24,PFM-945-4578,2024-10-20,0.87,0,0.0,1,1,0,0,0,0,0,1,23.0
Google,PUB_527cb9d6,Alpha Group,LYY,CMPN-6062-53,Prospecting_Seasonal_Q224,ACCT-5061132227,2024-03-05,29.33,2,20.0,49,16,0,0,0,0,0,1,10.0
Google,PUB_527cb9d6,Alpha Group,LYY,CMPN-6062-53,Prospecting_Seasonal_Q224,ACCT-5061132227,2024-02-07,27.41,0,0.0,63,13,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,LYY,CMPN-6062-53,Conversion_General_Nov22,ACCT-5061132227,2024-09-15,31.28,0,0.0,10,10,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,FX,CMPN-1100-33,Retargeting_Special_Jul23,ACCT-6211764545,2024-08-17,15.78,0,0.0,16,5,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,FX,CMPN-1100-33,Retargeting_Special_Jul23,ACCT-6211764545,2024-04-03,5.33,1,0.0,9,3,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,FX,CMPN-1100-33,Retargeting_Special_Jul23,ACCT-6211764545,2024-04-27,0.0,0,0.0,4,0,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,PDD,CAM-UOFWB0HP,Prospecting_Special_Oct24,ACCT-6211764545,2024-11-06,4.5,0,0.0,21,1,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,PDD,CAM-UOFWB0HP,Prospecting_Special_Oct24,ACCT-6211764545,2024-08-09,6.15,0,0.0,8,2,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,PDD,CAM-UOFWB0HP,Prospecting_Special_Oct24,ACCT-6211764545,2024-06-17,33.8,1,17.97,12,7,0,0,0,0,0,1,17.97
Google,PUB_527cb9d6,Alpha Group,PDD,CAM-UOFWB0HP,Prospecting_Special_Oct24,ACCT-6211764545,2024-05-04,2.32,1,22.97,5,2,0,0,0,0,0,1,22.97
Google,PUB_527cb9d6,Alpha Group,PDD,CAM-UOFWB0HP,Prospecting_Special_Oct24,ACCT-6211764545,2024-11-03,81.34,4,171.88,54,18,0,0,0,0,0,1,22.97
Google,PUB_527cb9d6,Alpha Group,CL,CMPN-3578-57,Retargeting_Premium_Dec23,ACCT-6211764545,2024-01-19,25.68,2,28.0,104,10,0,0,0,0,0,2,28.0
Google,PUB_527cb9d6,Alpha Group,CL,CMPN-3578-57,Engagement_Premium_May24,ACCT-6211764545,2024-06-18,4.76,1,18.0,6,3,0,0,0,0,0,1,18.0
Google,PUB_527cb9d6,Alpha Group,CL,CMPN-3578-57,Engagement_Premium_May24,ACCT-6211764545,2024-08-12,4.46,0,0.0,7,2,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,BW,CMPN-6314-82,Retargeting_Premium_May23,PFM-945-4578,2024-02-11,32.23,3,60.0,42,16,0,0,0,0,0,2,35.0
Google,PUB_527cb9d6,Alpha Group,BW,CMPN-6314-82,Retargeting_Premium_May23,PFM-945-4578,2024-02-12,49.01,0,0.0,51,19,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,BW,CMPN-6314-82,Awareness_Value_Apr23,PFM-945-4578,2024-09-23,13.92,0,0.0,24,5,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,BW,CMPN-6314-82,Awareness_Value_Apr23,PFM-945-4578,2024-06-02,29.59,2,45.0,33,9,0,0,0,0,0,1,25.0
Google,PUB_527cb9d6,Alpha Group,BW,CMPN-6314-82,Awareness_Value_Apr23,PFM-945-4578,2024-03-30,7.64,1,20.0,31,6,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,SB,20-16895-259,Engagement_Value_Q322,796-872-2341,2024-01-30,18.28,1,26.98,279,9,0,0,0,0,0,1,26.98
Google,PUB_527cb9d6,Alpha Group,PZR,CAM-1BCPPVOH,Conversion_Premium_Sep24,ACCT-5061132227,2024-01-15,17.41,1,20.0,65,7,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,PZR,CAM-1BCPPVOH,Conversion_Premium_Sep24,ACCT-5061132227,2023-11-29,11.92,0,0.0,42,6,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,QK,24-55242-540,Conversion_Premium_Q323,ACCT-5061132227,2024-03-10,58.36,4,93.0,49,30,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,QK,24-55242-540,Conversion_Premium_Q323,ACCT-5061132227,2023-12-17,16.24,0,0.0,19,8,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,QK,24-55242-540,Retargeting_Value_Nov23,ACCT-5061132227,2024-07-07,12.96,0,0.0,29,14,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,QK,24-55242-540,Retargeting_Value_Nov23,ACCT-5061132227,2024-07-26,28.25,0,0.0,31,22,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,QK,24-55242-540,Retargeting_Value_Nov23,ACCT-5061132227,2024-09-09,21.12,1,31.0,31,16,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,XF,CAM-KYRYBOVA,Awareness_Premium_Oct23,796-872-2341,2024-03-20,2.41,0,0.0,2,1,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,XF,CAM-KYRYBOVA,Awareness_Premium_Oct23,796-872-2341,2024-02-24,8.37,0,0.0,21,4,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,RG,CMPN-4460-27,Prospecting_General_Sep23,796-872-2341,2023-12-18,32.53,1,29.99,85,17,0,0,0,0,0,1,29.99
Google,PUB_527cb9d6,Alpha Group,RG,CMPN-4460-27,Prospecting_General_Sep23,796-872-2341,2024-02-13,24.23,1,29.99,63,15,0,0,0,0,0,1,29.99
Google,PUB_527cb9d6,Alpha Group,RG,CMPN-4460-27,Awareness_Value_Jun23,796-872-2341,2024-10-08,22.89,1,29.99,64,13,0,0,0,0,0,2,59.98
Google,PUB_527cb9d6,Alpha Group,EY,CMPN-5742-51,Retargeting_Special_Apr23,796-872-2341,2024-11-21,33.98,0,0.0,5,5,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,EY,CMPN-5742-51,Retargeting_Special_Apr23,796-872-2341,2024-10-20,0.0,0,0.0,2,0,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,EY,CMPN-5742-51,Conversion_Value_Oct23,796-872-2341,2024-03-19,1.5,0,0.0,17,1,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,YCZ,CAM-A0GNZS43,Awareness_Seasonal_Jul24,796-872-2341,2024-02-03,29.59,1,34.98,41,6,0,0,0,0,0,2,69.96
Google,PUB_527cb9d6,Alpha Group,YCZ,CAM-A0GNZS43,Brand_Seasonal_Feb23,796-872-2341,2024-09-11,9.63,0,0.0,34,3,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,YCZ,CAM-A0GNZS43,Brand_Seasonal_Feb23,796-872-2341,2024-08-16,25.08,2,60.98,84,13,0,0,0,0,0,1,34.98
Google,PUB_527cb9d6,Alpha Group,WZ,CAM-O0PQCLPO,Conversion_Special_Q123,PFM-557-9653,2024-08-21,97.08,2,94.9,174,41,0,0,0,0,0,2,94.9
Google,PUB_527cb9d6,Alpha Group,HP,63-47947-217,Prospecting_Special_Q122,ACCT-6211764545,2024-08-02,15.94,2,41.0,14,6,0,0,0,0,0,1,23.0
Google,PUB_527cb9d6,Alpha Group,HP,63-47947-217,Prospecting_Special_Q122,ACCT-6211764545,2024-11-01,0.0,0,0.0,4,0,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,VBI,CMPN-1341-51,Brand_Seasonal_Jan23,PFM-220-5833,2024-04-07,45.21,0,0.0,14,9,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,ESJ,CAM-2W37D4IV,Conversion_General_May23,PFM-470-2279,2024-10-11,65.64,2,40.95,391,25,0,0,0,0,0,2,78.9
Google,PUB_527cb9d6,Alpha Group,ESJ,CAM-2W37D4IV,Conversion_General_May23,PFM-470-2279,2024-05-13,13.05,0,0.0,80,4,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,TO,20-61873-991,Engagement_Premium_Nov23,ACCT-3706601345,2024-08-10,60.14,0,0.0,5697,183,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,NGX,CMPN-6562-38,Engagement_Seasonal_May23,PFM-945-4578,2024-09-27,7.08,0,0.0,77,8,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,LYY,CMPN-3754-19,Engagement_General_Dec22,ACCT-5061132227,2024-08-02,21.1,0,0.0,1668,32,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,LYY,CMPN-3754-19,Engagement_General_Dec22,ACCT-5061132227,2024-07-15,25.68,1,13.89,503,7,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,PZR,91-24945-643,Brand_Special_Q223,ACCT-5061132227,2024-09-03,23.22,1,20.0,1338,26,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,PDD,34-55793-459,Conversion_General_Q222,ACCT-6211764545,2024-05-06,2.05,0,10.94,172,4,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,BF,92-29358-341,Conversion_Premium_Q124,PFM-888-6095,2024-03-14,35.4,3,59.88,192,18,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,BF,92-29358-341,Conversion_Premium_Jan23,PFM-888-6095,2024-06-24,25.22,0,0.0,2919,66,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,BF,92-29358-341,Conversion_Premium_Jan23,PFM-888-6095,2024-10-03,50.12,5,59.88,203,25,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,BF,92-29358-341,Conversion_Premium_Jan23,PFM-888-6095,2024-09-10,55.09,1,24.96,932,22,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,FSG,CAM-FHV1XG1R,Brand_General_Mar23,ACCT-6211764545,2024-04-23,2.86,0,0.0,333,1,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,EF,84-68838-797,Brand_Value_Aug22,ACCT-6211764545,2024-06-17,22.32,0,0.0,493,10,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,FX,92-93269-739,Prospecting_Special_Q422,ACCT-6211764545,2024-04-29,8.56,0,0.0,262,5,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,BW,CMPN-6179-29,Engagement_General_Q123,PFM-945-4578,2024-08-29,27.26,0,0.0,675,47,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,RG,CMPN-2118-70,Prospecting_Seasonal_Sep24,796-872-2341,2024-07-26,31.71,1,29.99,719,25,0,0,0,0,0,2,59.98
Google,PUB_527cb9d6,Alpha Group,FR,CMPN-5961-45,Conversion_General_Apr22,796-872-2341,2024-04-19,13.46,0,0.0,966,10,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,YC,17-56129-619,Brand_Value_Q424,PFM-945-4578,2024-05-05,13.47,1,15.0,74,8,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,EY,CAM-LQC3C54W,Awareness_Value_Oct24,796-872-2341,2024-04-27,2.35,0,0.0,485,4,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,XF,59-70648-694,Engagement_General_Jul22,796-872-2341,2024-06-30,4.84,0,0.0,65,4,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,XF,59-70648-694,Engagement_General_Jul22,796-872-2341,2024-04-05,10.69,0,0.0,243,5,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,VBI,15-68947-929,Retargeting_Seasonal_Q423,PFM-220-5833,2024-08-05,1.32,0,0.0,2,1,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,NGX,93-34672-429,Engagement_Seasonal_Jan23,PFM-945-4578,2024-11-19,24.39,1,19.0,62,10,0,0,0,0,0,1,19.0
Google,PUB_527cb9d6,Alpha Group,NGX,93-34672-429,Engagement_Seasonal_Jan23,PFM-945-4578,2024-11-17,7.27,0,0.0,27,5,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,NGX,93-34672-429,Engagement_Seasonal_Jan23,PFM-945-4578,2024-11-20,26.73,0,0.0,71,13,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,YC,70-75715-254,Conversion_Special_May24,PFM-945-4578,2024-11-10,18.94,1,16.0,39,12,0,0,0,0,0,2,32.0
Google,PUB_527cb9d6,Alpha Group,UWK,CAM-Q349DXBZ,Prospecting_Seasonal_Nov23,PFM-214-2011,2024-11-07,6.84,0,0.0,15,6,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,UWK,CMPN-9586-76,Brand_Special_May23,PFM-214-2011,2024-06-16,18.1,0,0.0,43,10,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,UWK,CMPN-9586-76,Brand_Special_May23,PFM-214-2011,2024-05-20,38.11,0,0.0,57,24,0,0,0,0,0,1,29.95
Google,PUB_527cb9d6,Alpha Group,UWK,30-57696-481,Conversion_General_May23,PFM-214-2011,2024-04-29,29.76,2,189.95,60,13,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,UWK,30-57696-481,Conversion_General_May23,PFM-214-2011,2024-04-03,8.84,0,0.0,26,6,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,WZ,CMPN-7347-62,Conversion_Seasonal_Sep23,PFM-557-9653,2024-07-09,39.78,0,0.0,88,12,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,WZ,CMPN-1857-90,Awareness_Seasonal_Jul22,PFM-557-9653,2024-04-11,3.5,0,0.0,76,3,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,ESJ,52-18639-437,Retargeting_Premium_Aug23,PFM-470-2279,2024-04-28,2.38,0,0.0,4,1,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,ESJ,CAM-UNJ48VFC,Engagement_Value_May24,PFM-470-2279,2024-06-29,3.35,0,0.0,45,3,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,VBI,28-55851-417,Awareness_Special_Mar22,PFM-220-5833,2024-04-03,17.52,1,39.95,24,5,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,VBI,99-96787-501,Conversion_Seasonal_Dec24,PFM-220-5833,2024-06-04,30.11,0,0.0,54,15,0,0,0,0,0,1,29.95
Google,PUB_6aa09766,Alpha Group,BRI,CAM-V7LN23Y3,Conversion_Seasonal_Dec23,PFM-617-4312,2024-01-01,2.65,0,0.0,15,2,0,0,0,0,0,0,0.0
Google,PUB_6aa09766,Alpha Group,BRI,CAM-V7LN23Y3,Conversion_Seasonal_Dec23,PFM-617-4312,2024-09-22,0.0,0,0.0,2,0,0,0,0,0,0,0,0.0
Google,PUB_6aa09766,Alpha Group,BRI,97-78995-195,Awareness_General_Jun22,PFM-617-4312,2024-10-12,0.59,0,0.0,5,1,0,0,0,0,0,0,0.0
Google,PUB_6aa09766,Alpha Group,BRI,95-65496-620,Retargeting_Premium_Jun24,PFM-617-4312,2024-10-23,0.0,0,0.0,29,0,0,0,0,0,0,0,0.0
Google,PUB_6aa09766,Alpha Group,BRI,95-65496-620,Retargeting_Premium_Jun24,PFM-617-4312,2024-11-21,19.12,0,0.0,102,10,0,0,0,0,0,0,0.0
Google,PUB_6aa09766,Alpha Group,BRI,95-65496-620,Retargeting_Premium_Jun24,PFM-617-4312,2024-10-11,5.88,0,0.0,24,3,0,0,0,0,0,0,0.0
Google,PUB_6aa09766,Alpha Group,BRI,CMPN-1298-56,Prospecting_Value_Dec24,PFM-617-4312,2024-04-24,305.07,0,1.33,4909,287,0,0,0,0,0,0,0.0
Google,PUB_6aa09766,Alpha Group,BRI,CMPN-1298-56,Prospecting_Value_Dec24,PFM-617-4312,2024-07-15,255.78,0,0.0,3754,219,0,0,0,0,0,0,0.0
Google,PUB_dce0e7ce,Alpha Group,AYN,CMPN-3953-37,Prospecting_Value_Oct24,PFM-649-3455,2024-05-12,28.41,6,84.0,72,15,0,0,0,0,0,3,42.0
Google,PUB_dce0e7ce,Alpha Group,AYN,CMPN-3953-37,Prospecting_Value_Oct24,PFM-649-3455,2024-05-27,8.38,0,0.0,48,6,0,0,0,0,0,2,36.0
Google,PUB_dce0e7ce,Alpha Group,AYN,CMPN-3953-37,Prospecting_Value_Oct24,PFM-649-3455,2024-03-21,46.67,8,118.0,134,28,0,0,0,0,0,14,206.0
Google,PUB_dce0e7ce,Alpha Group,AYN,CMPN-3953-37,Prospecting_Value_Oct24,PFM-649-3455,2024-01-14,56.07,7,100.0,117,33,0,0,0,0,0,6,78.0
Google,PUB_dce0e7ce,Alpha Group,AYN,CMPN-8967-34,Prospecting_Value_Aug24,PFM-649-3455,2023-12-09,3.48,0,0.0,36,3,0,0,0,0,0,1,10.0
Google,PUB_dce0e7ce,Alpha Group,AYN,CMPN-8967-34,Prospecting_Value_Aug24,PFM-649-3455,2024-04-26,12.48,2,22.5,91,11,0,0,0,0,0,0,0.0
Google,PUB_dce0e7ce,Alpha Group,AYN,CMPN-8967-34,Prospecting_Value_Aug24,PFM-649-3455,2024-04-28,11.38,2,30.0,48,6,0,0,0,0,0,0,0.0
Google,PUB_015eb958,Alpha Group,BGR,CAM-9FK2ST0S,Retargeting_Value_Jun23,435-974-9525,2024-10-21,37.87,0,0.0,606,28,0,0,0,0,0,0,0.0
Google,PUB_015eb958,Alpha Group,BGR,CAM-9FK2ST0S,Retargeting_Value_Jun23,435-974-9525,2024-10-06,17.49,2,45.0,682,14,0,0,0,0,0,0,0.0
Google,PUB_015eb958,Alpha Group,BGR,CAM-9FK2ST0S,Retargeting_Value_Jun23,435-974-9525,2024-06-12,12.04,0,0.0,67,11,0,0,0,0,0,0,0.0
Google,PUB_b1e5b15a,Alpha Group,RV,53-91006-234,Conversion_General_Mar23,ACCT-1250584540,2024-08-07,28.02,3,89.97,40,26,0,0,0,0,0,0,0.0
Google,PUB_b1e5b15a,Alpha Group,RV,53-91006-234,Conversion_General_Mar23,ACCT-1250584540,2024-07-06,23.68,5,59.97,59,21,0,0,0,0,0,0,0.0
Google,PUB_b1e5b15a,Alpha Group,RV,53-91006-234,Conversion_General_Mar23,ACCT-1250584540,2024-08-30,9.05,1,24.99,36,11,0,0,0,0,0,0,0.0
Google,PUB_7d2deba6,Alpha Group,KO,58-30218-266,Awareness_Special_Feb22,ACCT-6302020475,2024-09-07,15.34,1,12.0,15,8,0,0,0,0,0,0,0.0
Google,PUB_7d2deba6,Alpha Group,KO,58-30218-266,Awareness_Special_Feb22,ACCT-6302020475,2024-09-10,7.85,0,0.0,16,4,0,0,0,0,0,0,0.0
Google,PUB_7d2deba6,Alpha Group,KO,58-30218-266,Awareness_Special_Feb22,ACCT-6302020475,2024-07-20,7.83,0,0.0,12,4,0,0,0,0,0,0,0.0
Google,PUB_7d2deba6,Alpha Group,KO,CAM-313FPOYI,Conversion_Seasonal_May24,ACCT-6302020475,2024-01-09,14.23,0,0.0,41,7,0,0,0,0,0,63,945.0
Google,PUB_7d2deba6,Alpha Group,KO,CAM-313FPOYI,Conversion_Seasonal_May24,ACCT-6302020475,2023-12-28,0.0,0,0.0,8,0,0,0,0,0,0,34,510.0
Google,PUB_7d2deba6,Alpha Group,KO,CAM-313FPOYI,Prospecting_Special_Jun22,ACCT-6302020475,2024-10-15,22.3,2,24.0,56,12,0,0,0,0,0,0,0.0
Google,PUB_7d2deba6,Alpha Group,KO,CAM-313FPOYI,Prospecting_Special_Jun22,ACCT-6302020475,2024-07-13,33.84,3,36.0,49,20,0,0,0,0,0,0,0.0
Google,PUB_7d2deba6,Alpha Group,KO,CMPN-5668-67,Conversion_Value_Apr23,279-725-7643,2024-04-07,89.61,29,344.0,370,125,0,0,0,0,0,24,360.0
Google,PUB_7d2deba6,Alpha Group,KO,CAM-TL3Q4N89,Conversion_Value_Q124,279-725-7643,2024-01-30,26.61,2,29.18,2110,22,0,0,0,0,0,0,0.0
Google,PUB_7d2deba6,Alpha Group,KO,CAM-TL3Q4N89,Conversion_Value_Q124,279-725-7643,2023-12-06,56.36,14,161.13,3228,79,0,0,0,0,0,0,0.0
Google,PUB_7d2deba6,Alpha Group,KO,CMPN-5616-58,Brand_Value_Jan22,279-725-7643,2024-10-28,261.69,47,562.66,12791,234,0,0,0,0,0,0,0.0
Google,PUB_7d2deba6,Alpha Group,KO,CMPN-5616-58,Brand_Value_Jan22,279-725-7643,2024-08-14,75.38,29,348.0,3856,69,0,0,0,0,0,0,0.0
Google,PUB_7d2deba6,Alpha Group,KO,77-64874-265,Prospecting_Premium_May22,ACCT-6302020475,2024-09-15,0.0,0,0.0,1,0,0,0,0,0,0,0,0.0
