Brand/Title,Platform,Date ,Campaign,Optimization,Change(s),Optimization Score ,Results/Next step,Date Change(s) was made,Optimization made by,,,,,,,,
GDT,Social,08-15-2022,ABO | CIRC | PWX GDT June22,Ad paused ,"In Interests - No Gardening - Physical ad set we have paused PWX_GDT_Physical_V3 creative because the spent is $46.77 and has 0 conversions (last 7 days)
",,,08-15-2022,Lakshmish,,,,,,,,
GDT,Social,08-16-2022,ABO | CIRC | PWX GDT June22,Updated URL,Physical ads - updated to I2208S01,,,08-16-2022,Ashley,,,,,,,,
GDT,SEM,08-16-2022,Circ_Garden Gate - Feb 22,Redundant Keywords,Redundant keywords were removed,,,08-16-2022,Gourav,,,,,,,,
GDT,Social,08-22-2022,ABO | CIRC | PWX GDT June22,Ad paused ,"In Interests - No Gardening - Digital we have paused PWX_GDT_Digital_V3 because the spent is $40.61 and has  conversions (last 7 days)  
",,,08-22-2022,Lakshmish,,,,,,,,
GDT,Social,08-23-2022,CIRC | PWX GDT - Outbound - Jan'22,Ad paused ,"In Subscriber Lookalike - Evergreen ad set we have paused Evergreen Video – V2 creative because of the high CPA  $115.25 and has only 1 conversion (last 3 days)
",,,08-23-2022,Lakshmish,,,,,,,,
GDT,Social,08-25-2022,CIRC | PWX GDT - Retargeting - Jan'22,Ad set paused,In Newsletter lists ad set we have duplicated the Evergreen Video – V2 – Copy and renamed that as Evergreen Video – V2 – Copy 2 because the old Evergreen Video – V2 – Copy have high CPA of $74.98 and has 1 conversion (last 3 days),,,08-25-2022,Lakshmish,,,,,,,,
GDT,Social,08-25-2022,ABO | CIRC | PWX GDT June22,Ad paused ,"In Interests - No Gardening - Physical ad set we have paused PWX_GDT_Physical_V7 creative because the spents is $34.24 and has 0 conversions (last 14 days)

",,,08-25-2022,Lakshmish,,,,,,,,
GDT,Social,08-30-2022,ABO | CIRC | PWX GDT June22,Ad paused ,"In Interests - No Gardening - Digital ad set we have paused PWX_GDT_Digital_V12 creative because the spent is $31.75 and has 0 conversions (last 14 days)
 
",,"We can duplicate the Interests - No Gardening ad set with the performed creative PWX_GDT_Digital_V3 , PWX_GDT_Physical_V9, and PWX_GDT_Digital_V1



",08-30-2022,Lakshmish,,,,,,,,
GDT,Social,08-30-2022,CIRC | PWX GDT - DM - Conversion - Aug 22,Ad paused ,"In Direct Mail Audience ad set we have paused GDT_DM_V2 creative because of the high CPA of $97.40 and having 1 conversion ( last 3 days)

",,"We can duplicate the GDT_DM_V2 creative once again because it creative which used to perform
",08-30-2022,Lakshmish,,,,,,,,
GDT,Social,08-30-2022,ABO | CIRC | PWX GDT June22,Ad paused ,"In Interests - No Gardening - Physical ad set we have paused PWX_GDT_Physical_V9 creative because the spent is $50.92 and has 0 conversions (last 7 days).
",,,08-30-2022,Lakshmish,,,,,,,,
GDT,Social,08-31-2022,ABO | CIRC | PWX GDT June22,Campaign Paused,Campaign paused as per client request as we are going to test a different premium soon.,,,08-31-2022,Gourav,,,,,,,,
GDT,Social,09-01-2022,CIRC | PWX GDT - DM - Traffic - Aug 22,Updated URL,Changed URL key to I2209DM1,,,09-01-2022,Ashley,,,,,,,,
GDT,Bing,09-02-2022,Circ_Garden Gate - Feb 22,Bid Adjustment ,"Ad group: Brand V2
Computer: 5% to 10%",,,09-02-2022,Gourav, ,,,,,,,
GDT,Social,09-02-2022,CIRC | PWX GDT - Retargeting - Jan'22,Ad paused,In Order Page Abandoners - Evergreen ad set we have paused Evergreen Video – V2 – Copy because of the high CPA of $111.44 and having only 1 conversion (last 3 days),,We can duplicate the Evergreen Video – V2 creative in the Order Page Abandoners - Evergreen and Newsletter lists ad sets.,09-02-2022,Lakshmish,,,,,,,,
GDT,SEM,09-09-2022,Circ_Garden Gate - Feb 22,Added Search Term Keyword,"Ad group: Brand V2
Added search term keyword as Exact match type.
[gardengate magazine]",,We had 2 conversions from this keyword. with a CPA of $2.83,08-09-2022,Gourav,,,,,,,,
GDT,Social,09-09-2022,CIRC | PWX GDT - DM - Conversion - Aug 22,Ad paused ,"In Direct Mail Audience ad set we have paused GDT_DM_V5 creative because the spent is $82.03 and has 0 conversions (last 7 days)

",,,09-09-2022,Lakshmish,,,,,,,,
GDT,Social,09-09-2022,CIRC | PWX GDT - DM - Traffic - Aug 22,Updated URL,Changed landing page URL key to I2209DM2,,,09-09-2022,Ashley,,,,,,,,
GDT,SEM,09-14-2022,Circ_Garden Gate - Feb 22,Dismissed Google Recommendations,"Dismissed:-
-Bid more efficiently with Maximize conversions using a target CPA
-Get more conversions at a similar CPA using unspent budget with the revamped Google Display Network Expansion feature 
-Enhance your text ads with sitelinks related to your landing page using dynamic sitelink extensions, which can improve your CTR ",,Overall optimization score improved by 18%,09-14-2022,Gourav,,,,,,,,
GDT,Social,09-14-2022,CIRC | PWX GDT - DM - Conversion - Aug 22,Ad set paused ,"We have paused all the DM Audience ad sets from the GDT DM campaigns.

",,,09-14-2022,Lakshmish,,,,,,,,
GDT,Social,09-15-2022,CIRC | PWX GDT - Outbound - Jan'22,Ad paused ,"In PWX_GDT_Stacked_Social Engagement_Social Engagement LAL_Evergreen
ad set we have paused PWX_GDT_Evergreen_V8 creative because of the high CPA of $94.15 and has only 1 conversions (last 7 days)",,,09-15-2022,Lakshmish,,,,,,,,
GDT,Social,09-15-2022,CIRC | PWX GDT - Outbound - Jan'22,Changes made,"PWX_GDT_Interests_Fall Creative:
Reduce budget to $15/day
PWX_GDT_Competitors_Evergreen_Copy:
Increase budget to $100/day
PWX_GDT_Interests_Flower:
Increase budget to $50/day
PWX_GDT_LAL_Subscriber_Evergreen:
Pause PWX_GDT_Control_Fall_Video and PWX_GDT_Control_Fall_V4
Relaunch Evergreen Video – V2
PWX_GDT_Interests_Evergreen:
Reduce budget to $150/day
Pause PWX_GDT_Evergreen_V1 and PWX_GDT_Evergreen_V12
Remove the Fall creatives from this ad set since we have them in their own Interests ad set
PWX_GDT_Stacked_Social Engagement_Social Engagement LAL_Evergreen:
Reduce budget to $30/day
Pause PWX_GDT_Control_Fall_Video and PWX_GDT_Control_Fall_V4
Relaunch Evergreen Video – V2",,,09-15-2022,Lakshmish,,,,,,,,
GDT,Social,09-15-2022,CIRC | PWX GDT - Retargeting - Jan'22,Changes made,"PWX_GDT_Retargeting_Website Visitors Retargeting_Evergreen_Copy:
Increase budget to $50/day
PWX_GDT_Retargeting_Order Page Abandoners_Evergreen:
Increase budget to $50/day
PWX_GDT_Retargeting_Newsletter List:
Increase budget to $50/day",,,09-15-2022,Lakshmish,,,,,,,,
GDT,Social,09-19-2022,CIRC | PWX GDT - Retargeting - Jan'22,Changes made,"•In PWX_GDT_Retargeting_Order Page Abandoners_Evergreen ad set we have paused PWX_GDT_Control_Evergreen_V1
creative because the spent is $25.88 and has 0 conversions.(last 7 days)
•So, we have duplicated the same PWX_GDT_Control_Evergreen_V1 creative from the PWX_GDT_Retargeting_Order Page Abandoners_Evergreen
ad set because it used to perform  earlier
",,,09-19-2022,Lakshmish,,,,,,,,
GDT,Social,09-19-2022,CIRC | PWX GDT - Outbound - Jan'22,Changes made,"In PWX_GDT_Stacked_Social Engagement_Social Engagement LAL_Evergreen ad set we have paused Evergreen Video – V2 because of the high CPA of $81.99 nad has only 1 conversion.
On behalf of that we have relaunched the Evergreen Video – V2 – Copy creative because it is the top performing creative

",,,09-19-2022,Lakshmish,,,,,,,,
GDT,Social,09-19-2022,CIRC | PWX GDT - Outbound - Jan'22,Changes made,"PWX_GDT_Interests_Fall Creative:
Pause PWX_GDT_Control_Fall_V1 and PWX_GDT_Control_Fall_V4
Add in these creatives:
PWX_GDT_Control_Fall_V2
PWX_GDT_Control_Fall_V3
PWX_GDT_Control_Fall_V5
PWX_GDT_Competitors_Evergreen_Copy:
Increase budget to $125/day
PWX_GDT_Interests_Flower:
Increase budget to $75/day
Pause PWX_GDT_Evergreen_V8
PWX_GDT_LAL_Subscriber_Evergreen:
Pause PWX_GDT_Evergreen_V12 and PWX_GDT_Control_Fall_V1
PWX_GDT_Interests_Evergreen:
Reduce budget to $100/day
Relaunch ad set PWX_GDT_Stacked_IP List_IP List LAL_Evergreen with a $50/day budget
Launch with ads:
Evergreen Video – V2
PWX_GDT_Evergreen_V8
PWX_GDT_Evergreen_V13
PWX_GDT_Evergreen_V1",,,09-19-2022,Lakshmish,,,,,,,,
GDT,Social,09-19-2022,CIRC | PWX GDT - Retargeting - Jan'22,Changes made,"PWX_GDT_Retargeting_Website Visitors Retargeting_Evergreen_Copy:
Pause PWX_GDT_Control_Fall_V1 and PWX_GDT_Control_Fall_V4
PWX_GDT_Retargeting_Order Page Abandoners_Evergreen:
Reduce budget to $25/day
Pause PWX_GDT_Control_Fall_Video_AIM",,,09-19-2022,Lakshmish,,,,,,,,
GDT,Social,09-19-2022,"CIRC | PWX GDT - Retargeting - Jan'22 and
CIRC | PWX GDT - Outbound - Jan'22",Changes made,"PWX_GDT_Evergreen_V4
PWX_GDT_Evergreen_V9
 creatives are added for the Evergreen ad sets
",,,09-19-2022,Lakshmish,,,,,,,,
GDT,Social,09-21-2022,CIRC | PWX GDT - Retargeting - Jan'22,Changes made,In PWX_GDT_Retargeting_Order Page Abandoners_Evergreen ad set we have paused PWX_GDT_Control_Evergreen_Video_V2_Copy 2 and relaunched PWX_GDT_Control_Evergreen_Video_V2 creative due to the high CPA of $93.15 and In PWX_GDT_Retargeting_Newsletter List ad set we have paused PWX_GDT_Control_Evergreen_Video_V2_Copy 2 and relaunched PWX_GDT_Control_Evergreen_Video_V2 creative due to the high CPA of $103.76,,,09-21-2022,Lakshmish,,,,,,,,
GDT,Social,09-21-2022,CIRC | PWX GDT - Outbound - Jan'22,Changes made,In PWX_GDT_LAL_Subscriber_Evergreen ad set we have paused PWX_GDT_Control_Evergreen_Video_V2 creative due to the high CPA of $68.94 and also we have duplicated the same creative because this is the top performing creative,,,09-21-2022,Lakshmish,,,,,,,,
GDT,Bing,09-21-2022,Circ_Garden Gate - Feb 22,Bid Adjustment ,"Bid Adjusted at Device Level
Computer Bid - 10% to 0%",,Observe next week,09-21-2022,Gourav,,"Summary (Sep)

Overall Insights: 
• Regular Bid Adjustments optimizations and changes (Keyword, DEMO, Geo, Device level) to improve the performance  
• Added Search Term Keyword
• Campaign Optimizations as per Google recommendations.
• Device and Demographics Bid Adjustment (Bing)

",,,,,,
GDT,Social,09-21-2022,"CIRC | PWX GDT - Retargeting - Jan'22 and
CIRC | PWX GDT - Outbound - Jan'22",Changes made,"PWX_GDT_Control_Circ_Retargeting
PWX_GDT_Retargeting_Newsletter List:
Reduce budget to $25/day
Pause PWX_GDT_Control_Fall_Video_AIM

PWX_GDT_Control_Circ_Outbound
Pause PWX_GDT_Interests_Fall Creative ad set
",,,09-21-2022,Lakshmish,,,,,,,,
GDT,Social,09-23-2022,CIRC | PWX GDT - Retargeting - Jan'22,Changes made,"We have paused the PWX_GDT_Retargeting_Newsletter List ad set.

In PWX_GDT_Retargeting_Website Visitors Retargeting_Evergreen_Copy
ad set we have paused PWX_GDT_Control_Fall_Video_AIM because of the high CPA .
and duplicated the PWX_GDT_Control_Evergreen_Video_V2 creative because of the top performing creative",,,09-23-2022,Lakshmish,,,,,,,,
GDT,Bing,09-26-2022,Circ_Garden Gate - Feb 22,Bid Adjustment ,"Bid Adjusted at Demographics
Age Bid 
65+  -10% to 10%
50-64 - 15% to 0% ",,,09-26-2022,Gourav,,,,,,,,
GDT,Social,09-26-2022,PWX_GDT_Control_Circ_Premium Test_Sept22,Updated URL,Updated URL on physical ads to I2210S01 for October,,,09-30-2022,Ashley,,,,,,,,
GDT,Social,10-06-2022,PWX_GDT_Control_Circ_Premium Test_Sept22,Changes made,"In PWX_GDT_Interests_No Gardening_Digital
 ad set we have paused PWX_GDT_ Digital_V7 since it not performing and in the PWX_GDT_Interests_No Gardening_Physical ad set have paused PWX_GDT_ Physical_V7 creative because the spent is $77.97 and has 0 conversions till date.",,,10-06-2022,Lakshmish,,,,,,,,
GDT,Social,10-10-2022,CIRC | PWX GDT - Retargeting - Jan'22,Changes made,"We have the paused Order Page Abandoners_Evergreen ad set and relaunched the PWX_GDT_Retargeting_Newsletter List ad set with the below creatives:

PWX_GDT_Control_Evergreen_Video_V2_Copy 2
PWX_GDT_Control_Evergreen_V13",,,10-10-2022,Lakshmish,,,,,,,,
GDT,Social,10-12-2022,PWX_GDT_Control_Circ_Premium Test_Sept22,Changes made,"-In PWX_GDT_Interests_No Gardening_Digital ad set we have duplicated the PWX_GDT_ Digital_V9 creative and in PWX_GDT_Interests_No Gardening_Physical ad set also we duplicated the PWX_GDT_ Physical_V9
-Activated the PWX_GDT_Retargeting_Order Page Abandoners_Digital and PWX_GDT_Retargeting_Order Page Abandoners_Physical, both at $15/day.

",,,10-12-2022,Lakshmish,,,,,,,,
GDT,Social,10-12-2022,CIRC | PWX GDT - Retargeting - Jan'22,Changes made,"We have paused the Newsletter ad set and relaunched the Order Page Abandoners - Evergreen ad set. Also reduced the budget on PWX_GDT_Retargeting_Website Visitors Retargeting_Evergreen_Copy to $25/day.

",,,10-12-2022,Lakshmish,,,,,,,,
GDT,Social,10-12-2022,CIRC | PWX GDT - Outbound - Jan'22,Changes made,"In the PWX_GDT_LAL_Subscriber_Evergreen ad set, we have paused PWX_GDT_Control_Evergreen_Video_V2 – Copy because of the high CPA.
and relaunched the PWX_GDT_Control_Evergreen_Video_V2 because it used to perform earlier.",,,10-12-2022,Lakshmish,,,,,,,,
GDT,Social,10-14-2022,PWX_GDT_Control_Circ_Premium Test_Sept22,Ad set paused,"We have paused PWX_GDT_Interests_No Gardening_Digital
ad set because the spent is $124.25 and has 0 conversions from last 5 days",,,10-14-2022,Lakshmish,,,,,,,,
GDT,SEM,10-17-2022,Circ_Garden Gate - Feb 22,Bid Adjustment ,"Device
Computer: 0% to -15%",,Overall computer device CPA was $21,10-17-2022,Gourav,,,,,,,,
GDT,Social,10-17-2022,CIRC | PWX GDT - Outbound - Jan'22,Ad set paused,We have paused PWX_GDT_LAL_Subscriber_Evergreen ad set due to the high CPA of $87.34 and also not performing for the last 7 days.,,,10-17-2022,Lakshmish,,,,,,,,
GDT,Social,10-19-2022,CIRC | PWX GDT - Retargeting - Jan'22,Changes made,"In PWX_GDT_Retargeting_Website Visitors Retargeting_Evergreen_Copy ad set we have paused PWX_GDT_Control_Evergreen_Video_V2 – Copy because the spent is $73.67 and has 0 conversions from last 3 days so now we relaunched the original creative PWX_GDT_Control_Evergreen_Video_V2.
",,,10-19-2022,Lakshmish,,,,,,,,
GDT,Social,10-19-2022,PWX_GDT_Control_Circ_Premium Test_Sept22,Ad set paused,"We have paused PWX_GDT_Retargeting_Order Page Abandoners_Physical
ad set because the spent is $98.10 and has 0 conversions (last 7 days)",,,10-19-2022,Lakshmish,,,,,,,,
GDT,SEM,10-19-2022,Circ_Garden Gate - Feb 22,Google Recommendations dismissed,"Dismissed:-
-Bid more efficiently with Maximize conversions using a target CPA
-Add dynamic sitelink extensions
",,Overall optimization score improved by 10%,10-19-2022,Gourav,,,,,,,,
GDT,Social,10-19-2022,PWX_GDT_Control_Circ_Premium Test_Sept22,Ad set activated,We have activated  ad sets PWX_GDT_Competitors_Digital and PWX_GDT_Competitors_Physical at $15/day.,,,10-19-2022,Lakshmish,,SEM (October 2022),,Social (October 2022),,,,
GDT,Social,10-21-2022,PWX_GDT_Control_Circ_Retargeting,Changes made,"In PWX_GDT_Retargeting_Order Page Abandoners_Evergreen ad set we have paused PWX_GDT_Control_Evergreen_Video_V2 ad because of the high of $71.87 and relaunched PWX_GDT_Control_Evergreen_Video_V2_Copy ad because top performing creative which used to perform earlier.
",,,10-21-2022,Lakshmish,,"Summary

Overall Insights: 
• Device level bid adjustment was made.
• We have a CPA of $6.55 and we are below our target CPA.
• We have been making regular Bid Adjustments and optimizations are executed based on the performance on the live campaigns.
• Bid adjustments have been made in the Age group, Household Income, Device and Gender level
• The current optimization score is 95%


Agenda for the following month:


• We are searching on a regular basis for more relevant keywords and search terms which can be added to the campaign.
• We will work on our regular daily checks at the various levels of the campaign (Audience, Demographics, Keywords. etc)
• Monitoring regularly to keep sight on any the performance irregularity and check for any errors or ads disapproval.





",,"Summary

Overall Insights: 
• We have activated  ad sets PWX_GDT_Competitors_Digital and PWX_GDT_Competitors_Physical at $15/day.
• ""In PWX_GDT_Retargeting_Website Visitors Retargeting_Evergreen_Copy ad set we have paused PWX_GDT_Control_Evergreen_Video_V2 – Copy because the spent is $73.67 and has 0 conversions from last 3 days so now we relaunched the original creative PWX_GDT_Control_Evergreen_Video_V2.
""
•In PWX_GDT_Retargeting_Order Page Abandoners_Digital ad set we have paused PWX_GDT_Digital_Video creative because the spent is $44.52 and 0 conversions from last 3 days.


Agenda for the following month:







",,,,
GDT,Social,10-24-2022,PWX_GDT_Control_Circ_Premium Test_Sept22,Ad paused,In PWX_GDT_Retargeting_Order Page Abandoners_Digital ad set we have paused PWX_GDT_Digital_Video creative because the spent is $44.52 and 0 conversions from last 3 days.,,,10-24-2022,Lakshmish,,,,,,,,
GDT,Social,10-24-2022,PWX_GDT_Control_Circ_Outbound,Budget changes,"PWX_GDT_Competitors_Evergreen_Copy:
Reduced budget to $75/day
PWX_GDT_Interests_Evergreen:
Reduced budget to $75/day
PWX_GDT_Stacked_Social Engagement_Social Engagement LAL_Evergreen:
Increased budget to $50/day",,,10-24-2022,Lakshmish,,,,,,,,
GDT,Social,10-24-2022,PWX_GDT_Control_Circ_Retargeting,Changes made,"-Paused PWX_GDT_Retargeting_Website Visitors Retargeting_Evergreen_Copy
- In PWX_GDT_Retargeting_Order Page Abandoners_Evergreen:
Increased budget to $50/day",,"Will can relaunch PWX_GDT_Retargeting_Website Visitors Retargeting_Evergreen_Copy ad set 
with the PWX_GDT_Control_Evergreen_Video_V2 – Copy creative since it has performed for us.",10-24-2022,Lakshmish,,,,,,,,
GDT,Social,10-24-2022,PWX_GDT_Control_Circ_Premium Test_Sept22,Changes made,"-Paused PWX_GDT_Interests_No Gardening_Physical and PWX_GDT_Competitors_Digital
-Increased budgets to $30/day
  PWX_GDT_Competitors_Physical and PWX_GDT_Retargeting_Order Page Abandoners_Digital",,,10-24-2022,Lakshmish,,,,,,,,
GDT,Bing,10-25-2022,Circ_Garden Gate - Feb 22,Bid Adjustment ,"Bid Adjusted at Device
Smartphone:  0% to -20%
",,,10-25-2022,Aniket,,SEM (November 2022),,Social (November 2022),,,,
GDT,Social,10-28-2022,PWX_GDT_Control_Circ_Premium Test_Sept22,Ad set paused,"We have paused PWX_GDT_Retargeting_Order Page Abandoners_Digital
ad set because the spent is $192.56 and has 0 conversions from last 7 days.
",,,10-28-2022,Lakshmish,,"Summary

Optimizations in the Current Month:

•  Bid increased from $0.30 to $0.50 fort keyword [garden gate magazine subscription] as it is giving conversions under TCPA
• We have a CPA of $3.48 and we are below our target CPA and it is decreased by 7.76% as compared to last month. 
• By analyzing the data from the previous month CPC has outperformed by a dip of 3.92% this month.
• Tallying the data from last the no of clicks have outperformed by 3.92% this month 
• We have been making regular Bid Adjustments and optimizations are executed based on the performance on the live campaigns.
• Few of the Google recommendations have been dismissed due to their irrelevancy or were not useful. The current optimization score is 99%



Agenda for the following month:

• On a  regular basis we are checking at the various levels of the campaign (Audience, Demographics, Keywords. etc)
• Analyzing and optimizing the campaign and keeping a check on any the performance irregularity and check for any errors or ads disapproval.
",,"Summary

Optimizations in the Current Month:


• We have paused the PWX_GDT_Competitors_Physical and launched the PWX_GDT_LAL_Website Visitors_Physical with a budget of $25/day for both active campaigns
• In PWX_GDT_Stacked_IP List_IP List LAL_Evergreen ad set we have paused Ad: ""PWX_GDT_Control_Evergreen_Video_V2"" because of the high CPA of $142.77 and duplicated the same creative because of the top performing creative in this ad set.
• In PWX_GDT_LAL_Website Visitors_Digital ad set we have paused PWX_GDT_Digital_Video creative because of the high CPA of $135.06 from last 7 days.
• We have added the new DIgital and Physical creatives to the campaign.
V8 and V1
• We have relaunched the PWX_GDT_Retargeting_Website Visitors Retargeting_Evergreen_Copy ad set with the PWX_GDT_Control_Evergreen_Video_V2 creative again for the testing purpose with the budget of $20/day.
• In PWX_GDT_LAL_Website Visitors_Digital ad set we have paused PWX_GDT_ Digital_V9
because of the high CPA of $77.45 in last 7 days and in PWX_GDT_LAL_Website Visitors_Physical
ad set have paused the PWX_GDT_ Physical_V9 creative because we didn't get any conversions.
• In PWX_GDT_Interests_Flower ad set we have duplicated the PWX_GDT_Control_Evergreen_Video_V2 creative and paused PWX_GDT_Stacked_IP List_IP List LAL_Evergreen ad set.",,,,
